Scene,Filename,Method,BE (cm),Compression Ratio,Compression Time (s),Decompression Time (s),Mean Error (Axis),Max Error (Axis),Mean Error (L2),Max Error (L2),Num Packets,Chamfer Distance,Occupancy IoU
sample_0,0000000000.bin,Huffman,0,0.6576266105759461,nan,nan,0.0,0.0,0.0,0.0,7767,0.0,1.0
sample_0,0000000000.bin,EB-HC(Axis),1.0,0.3511814277391646,nan,nan,0.00465603731572628,0.009000062942504883,0.005822669248839069,0.010394029490655312,4148,7.535097721700853e-05,0.8809808272173864
sample_0,0000000000.bin,EB-HC(L2),1.0,0.35781205544039346,nan,nan,0.003905667457729578,0.00700002908706665,0.004877557002504344,0.008661553498576582,4226,5.310475699669066e-05,0.902814145541392
sample_0,0000000000.bin,EB-Octree(Axis),1.0,0.5503197442046363,nan,nan,0.0001522092061350122,0.007000088691711426,0.00017838451553943782,0.009949824147010454,6499,1.694653013013235e-06,0.9994708514755685
sample_0,0000000000.bin,EB-Octree(L2),1.0,0.5441626359929006,nan,nan,0.000347876368323341,0.010000001639127731,0.0003908248112324132,0.010000133514517982,6427,4.397128980207717e-06,0.998715080420849
sample_0,0000000000.bin,EB-HC-3D(Axis),1.0,0.27512362990963163,nan,nan,0.0037843494210392237,0.005877017974853516,0.004863644700009013,0.008562778702952524,3250,5.111880868223586e-05,0.8933440256615878
sample_0,0000000000.bin,EB-HC-3D(L2),1.0,0.2751263396062811,nan,nan,0.0037843964528292418,0.005877017974853516,0.004863704145475262,0.008562778702952524,3250,5.111983489562479e-05,0.8933440256615878
sample_1,0000000001.bin,Huffman,0,0.6577148305245424,nan,nan,0.0,0.0,0.0,0.0,7771,0.0,1.0
sample_1,0000000001.bin,EB-HC(Axis),1.0,0.3512261713227049,nan,nan,0.00465351389721036,0.009000301361083984,0.0058135526235506135,0.010392928136573411,4150,7.509227551916717e-05,0.8782166112201086
sample_1,0000000001.bin,EB-HC(L2),1.0,0.3578140997513529,nan,nan,0.003898817114531994,0.007999897003173828,0.004865054547640487,0.008661493284326128,4228,5.2846930636345854e-05,0.8957983675460114
sample_1,0000000001.bin,EB-Octree(Axis),1.0,0.550303631113928,nan,nan,0.000161060132086277,0.00700002908706665,0.00018969823674542025,0.00989945177823879,6502,1.81567080348062e-06,0.9995006128841876
sample_1,0000000001.bin,EB-Octree(L2),1.0,0.5443000774652084,nan,nan,0.0003500887250993401,0.01000000536441803,0.0003950539460200182,0.010000610353381378,6431,4.448001856735403e-06,0.9990466678772472
sample_1,0000000001.bin,EB-HC-3D(Axis),1.0,0.2745139464460804,nan,nan,0.003785674460232258,0.005815029144287109,0.004871440517847335,0.008534515129038122,3244,5.121820665335797e-05,0.8867348539963766
sample_1,0000000001.bin,EB-HC-3D(L2),1.0,0.2745139464460804,nan,nan,0.003785674460232258,0.005815029144287109,0.004871440517847335,0.008534515129038122,3244,5.121820665335797e-05,0.8867348539963766
sample_2,0000000002.bin,Huffman,0,0.6576405189872047,nan,nan,0.0,0.0,0.0,0.0,7773,0.0,1.0
